date,base,target_currency,rate
2020-12-01,EUR,XAU,0.000667
2020-12-01,EUR,XCD,3.262756
2020-12-01,EUR,XDR,0.844398
2020-12-01,EUR,XOF,662.800927
2020-12-01,EUR,XPF,120.064465
2020-12-01,EUR,YER,302.244521
2020-12-01,EUR,ZAR,18.40812
2020-12-01,EUR,ZMK,10867.039744
2020-12-01,EUR,ZMW,25.38339
2020-12-01,EUR,ZWL,388.746602
